famille_metier_axa,sous_famille_metier,intitule_poste,missions_types,competences_techniques,soft_skills,questions_clarification,mots_cles,niveau_experience_typique,type_contrat_frequent
Actuariat,Actuariat assurance,Actuaire,"Développer produits et tarification; Analyser les risques; Calculer provisions techniques; Modéliser comportements; Optimiser rentabilité","Actuariat; Statistiques; Modélisation; Data science; IFRS 17; R; Python; C++","Analyse; Rigueur; Curiosité; Esprit critique; Communication","Le poste est-il orienté pricing ou provisionnement ?; Quel type d’assurance (Vie, IARD, réassurance) ?; Quels outils utilisés ?","actuariat; pricing; modélisation; risques; IFRS17; data science",Confirmé à Senior,CDI
Actuariat,Data actuarielle,Actuaire pricing / data,"Optimiser tarification; Exploiter données clients; Développer modèles prédictifs; Améliorer performance portefeuille","Data science; Machine learning; Statistiques; R; Python","Analyse; Innovation; Curiosité; Esprit business","Quelle part data science vs actuariat ?; Volume de données ?; Objectif business principal ?","pricing; data; machine learning; actuariel; analytics",Junior à Confirmé,CDI
Actuariat,Risk actuariel,Actuaire risk management,"Modéliser risques financiers; Suivre solvabilité; Piloter risques techniques; Participer stratégie risques","Risk management; Modélisation; Solvabilité; IFRS; Finance","Vision; Analyse; Synthèse; Anticipation","Lien avec Solvabilité II ?; Interaction avec finance ?; Périmètre des risques ?","risk; solvabilité; modélisation; finance; assurance",Senior,CDI
Actuariat / Assurance,Souscription,Souscripteur,"Développer et piloter un portefeuille d’assurance; Analyser et évaluer les risques; Négocier des affaires nouvelles; Adapter les garanties et les tarifs; Suivre la rentabilité du portefeuille","Analyse de risque; Souscription; Tarification; Produits d’assurance; Gestion de portefeuille; Négociation","Orientation client; Capacité de négociation; Esprit d’analyse; Force de proposition; Adaptabilité; Aisance relationnelle","Le poste est-il orienté souscription pure ou développement commercial ?; Quels types de risques ou de produits sont concernés ?; Quel niveau d’autonomie sur la tarification est attendu ?","assurance; souscription; risque; tarification; portefeuille; négociation; garanties",Confirmé à Senior,CDI
Actuariat / Assurance,Indemnisation,Services Clients Indemnisation,"Vérifier les garanties et ouvrir les dossiers; Analyser juridiquement les dossiers; Déterminer les responsabilités; Piloter les procédures judiciaires; Négocier les indemnisations; Gérer la relation client","Indemnisation; Analyse juridique; Droit des assurances; Gestion de sinistres; Procédures judiciaires; Négociation","Empathie; Diplomatie; Rigueur; Capacité d’analyse; Sens du service client; Organisation","Le poste inclut-il de la gestion de contentieux ?; Quels types de sinistres sont traités ?; Quel niveau de relation client est attendu ?","indemnisation; sinistre; juridique; assurance; responsabilité; client; négociation",Junior à Confirmé,CDI
Actuariat / Assurance,Prévention des risques,Ingénieur Prévention des Risques,"Analyser et quantifier les risques clients; Réaliser des audits et visites de sites; Déployer des plans de prévention; Évaluer le sinistre maximum possible (SMP); Accompagner les clients techniquement; Produire des rapports de prévention","Prévention des risques; Audit; Normes APSAD; Normes NFPA; Analyse technique; Assurance industrielle; Évaluation des risques","Rigueur; Esprit d’analyse; Capacité d’argumentation; Communication; Sens du client; Adaptabilité","Le poste porte-t-il sur des risques industriels ou généralistes ?; Quel niveau d’expertise technique est attendu ?; Le rôle inclut-il des déplacements terrain fréquents ?","prévention; risques; audit; assurance industrielle; SMP; APSAD; NFPA",Confirmé à Expert,CDI
Banque,Conseil bancaire,Conseiller Bancaire,"Gérer l'accueil client multicanal; Réaliser des opérations bancaires; Développer les ventes de l'offre AXA Banque; Conseiller les clients selon leurs besoins; Assurer le suivi des dossiers","Produits bancaires; Relation client; Vente; Opérations bancaires; Analyse du besoin; Suivi de dossier","Sens du service; Aisance relationnelle; Dynamisme; Esprit d'équipe; Capacité d'écoute","Le poste est-il orienté conseil, vente ou support bancaire ?; Quels produits bancaires doivent être maîtrisés ?; Le besoin inclut-il des objectifs commerciaux ?","banque; conseiller bancaire; relation client; produits bancaires; vente; accueil; dossier",Junior à Confirmé,CDI
Banque,Crédit patrimonial,Analyste Crédit Patrimonial,"Analyser et suivre les dossiers de crédit; Assurer la relation avec les apporteurs; Préconiser des solutions de financement; Évaluer les risques financiers, juridiques et fiscaux; Formuler des recommandations au comité d'engagement","Analyse crédit; Risque patrimonial; Fiscalité; Comptabilité; Analyse financière; Bilans; Ratios; Financement","Rigueur; Sens de l'analyse; Capacité de conviction; Excellent relationnel; Adaptabilité","Le poste porte-t-il sur de l'analyse pure ou aussi sur la relation commerciale ?; Quels types de dossiers patrimoniaux sont traités ?; Quel niveau d'autonomie est attendu face au comité d'engagement ?","analyse crédit; patrimonial; financement; risque; fiscalité; bilans; ratios; comité d'engagement",Senior / Expert,CDI
Banque,Crédit immobilier,Responsable Octroi Contrôle Crédit Immobilier,"Traiter les demandes exceptionnelles et dérogatoires; Décider de l’octroi des dossiers spécifiques; Gérer les échanges avec agents, clients, notaires et tiers; Contribuer aux contrôles opérationnels","Crédit immobilier; Octroi; Contrôle; Risques bancaires; Réglementation bancaire; Procédures de crédit; Délégation; Communication téléphonique","Rigueur; Sens des responsabilités; Capacité d'analyse; Réactivité; Qualité de communication","Le poste est-il centré sur l’octroi, le contrôle ou les deux ?; Quel niveau de délégation décisionnelle est prévu ?; Quelle part du rôle concerne la relation avec les parties prenantes externes ?","crédit immobilier; octroi; contrôle; dérogation; risques bancaires; réglementation; notaires",Confirmé à Senior,CDI
Banque,Risque comptes,Conseiller Risques Comptes,"Gérer les clients débiteurs; Analyser la situation financière du client; Proposer et mettre en place des solutions adaptées; Assurer la gestion administrative des dossiers; Fidéliser les clients AXA Banque","Analyse financière; Gestion du risque; Suivi de dossier; Relation client; Négociation; Solutions bancaires","Sens de la négociation; Capacité d'analyse; Aisance relationnelle; Force de proposition; Orientation client","Le poste est-il orienté prévention du risque ou traitement de situations dégradées ?; Quels types de solutions peuvent être proposées aux clients ?; Quel niveau de relation commerciale est attendu ?","risques comptes; client débiteur; analyse financière; négociation; fidélisation; dossier",Junior à Confirmé,CDI
